gene_name,logFC
PITPNC1,-3.4602073408038656
JPH1,-4.619972636667148
FSCN1,-2.139030156480315
EFNA1,-2.5367024843176713
CPXM1,4.364057965520152
CFAP251,-2.756965149975428
CKMT1A,-4.427327965946225
ADGRF4,-3.7648393382026057
MAP3K21,-2.188356432088086
PRKCQ,-3.075184623372844
FAM160A1,-2.7394208068315247
FRK,-3.124270312939457
AUTS2,-3.993200859539541
RNF43,-5.530073365934531
MST1R,-2.2619424042767915
TWIST1,2.40232193271574
MAPK13,-2.0473168098038377
EXPH5,-3.9311062116848587
BICDL1,-4.24659355793585
ST6GALNAC5,-4.913376539296182
COL6A3,4.871951410755298
MDFI,-2.4183113696885292
SLC37A2,-2.400595069982732
PRRG4,-3.7368968481186235
FLNC,3.0142338856954023
NHS,-3.015915309770686
SCN8A,3.046590366684104
SUSD5,3.3006076332177403
GNA15,-2.22051624095063
TSPAN18,-5.577197587117544
PALM,5.086281935235844
CLDN4,-3.1171809393748897
TMEM59L,4.068074540365942
MAP7D2,-3.0593291473394877
PCDHAC2,-4.357604154095275
GPAT3,-3.3670202700204976
PAPSS2,2.1648192231422145
CALML3,-6.448368046262536
C3,-2.18178684817649
PTHLH,-4.743526631371943
S100A9,-9.437643654896148
CLMN,-1.9110053185460942
RCN3,3.8409733425349124
TMEM139,-2.6129338256567687
LOXL4,4.0960449035220465
ADGRB2,2.244438532037116
EDN1,-3.386384745520293
SLC2A9,-2.617042193252998
IL1R2,-4.841171034825654
SORL1,-3.439365282131206
THRB,-5.245599334272697
CDS1,-3.542394317255589
FRMD4B,-4.1421190599611135
ASRGL1,2.697082860810426
PTGER2,4.1904997624309495
DAPP1,-8.396923119303667
PKN1,1.989442303341026
LHX1,-6.146273374576599
PPP1R14C,-5.139785734731936
SCARF2,2.5535624875326577
VASN,1.9190862859335478
CBSL,2.3353643522606826
EDARADD,-2.6741688653122493
ARHGEF5,-2.6785342717461926
KIF5C,4.651931027549028
FAM83H,-2.3316447085086636
HAS3,-5.495362859460661
GOLGA7B,-4.223411710540665
TUBB2B,2.9612766315183148
FAM20C,4.2529914469788475
GFRA1,9.23400268224431
AFAP1L2,-2.493815037459136
PCDH10,3.2408293399065995
N4BP3,-4.793972978913221
MYRF,2.424436253187203
BIK,-3.473983166140215
CNTN1,-6.2927264359947355
ITGA7,5.199690886686272
CCDC80,3.0320831687548377
HSH2D,-4.0638343752625214
ATP2A3,3.848872344656484
GM2A,-2.0188535135031955
ZNF165,-2.9024047994628788
ESRP2,-3.0132463303521004
EVPL,-2.936435930841956
RAB19,-3.888692838438174
PCDHGB2,2.8139253859830387
GRHL2,-6.8973639070084785
IGSF3,-2.453803706826812
OLFML2B,3.964152714828007
WNT5B,3.015866498114288
CSF3,-2.764900655140299
DOCK10,4.010472520307414
TGM1,-3.7436523928246794
AMPD3,-2.098671159755152
CSTA,-3.9787248121145793
BRSK1,2.6486980568463663
PLAAT3,3.228246805544185
ADGRA2,3.9660517651375957
EFNB1,-2.196958853825677
TMEM154,-2.2446313230604806
F3,-2.727731780998247
PLCH2,-3.247754277249713
TINCR,-3.5535125184061664
TNFAIP3,-2.668703653230391
FGD6,-1.8625083314643196
ENPP2,3.1149966524477617
COL3A1,5.2047896347459375
RAB39B,3.5663700027071306
ARHGEF4,-2.681211324424825
ALOX15B,-4.355131997188104
CTSC,-1.8466040008863458
KRT8,-2.589020910884791
CNKSR1,-2.0451423139943317
CYGB,-4.265149253683422
LRATD1,-2.771172254886824
KLF9,2.3524208086750185
AP3B2,-2.474656358820253
UPK1B,-6.147446028150025
VAT1L,4.320584466389425
PKDCC,4.577707357143503
CYP1A1,-3.765644374697462
CHST2,2.3331074781194028
GALNT16,4.0891193915872845
AQP3,-2.315623654025138
ALOXE3,-2.520959733053649
CXXC5,2.2230817227972985
ADGRG1,-2.490304688348586
SETBP1,-3.515096387062566
APOL1,2.0961799019412006
DSG3,-5.327250723623197
PRSS16,-2.3594935054088815
ABCA3,3.834361955481431
FAM110A,-1.7991310777894236
PDGFRB,3.9221496329616237
ZFYVE28,3.0503954654650935
SERPINA5,3.5793580216116183
ARID3B,-2.031459129765741
UGDH,1.7210188001736102
MEDAG,3.5818999944664505
SYTL1,-2.6597137168271328
CRISPLD2,3.375896080749434
COL4A1,2.110631401159101
CXADR,-2.5743699115292507
JAM2,3.8498063619193914
FOLR3,-4.896421982571042
MTSS1,-3.269792272982616
PDLIM3,2.951133351807185
IL20RB,-2.6438544626844904
LOX,2.7797673724425316
KCNK1,-3.4119282887237055
CTHRC1,5.071722866216381
PRSS23,2.0091595687331907
PTGES,-3.6301743794178902
EDIL3,5.061117828980257
MYO1D,-2.8990135872449914
NDRG1,-3.1436810426486552
LYN,-1.952852960079233
ELF3,-3.6322697985042467
RHOBTB3,2.700217412905691
SLFN11,1.6098787199492357
CNKSR2,-2.683440726396323
NTN4,2.566101978109271
PLEKHH1,-2.064521394709134
FAM131B,2.9052273462319813
KLK10,-7.166786832264015
C8orf88,3.3342734441128266
SUSD4,-3.3553283634664344
FRAS1,-2.166086373813873
PLEKHG3,-2.2127643794443936
SULF2,-3.809816046146263
PLSCR4,2.573051002250965
SPRR2A,-8.123810481447384
RIMS2,-2.7681699559024975
SYNE1,1.6526836814970687
SSH3,-1.5520933551639533
ANKRD1,5.259353685071484
MCTP2,-1.956216873635346
DSCAM,-6.2272306801556105
ESPN,-3.5421223189131648
LIMA1,-1.8267024324329557
P3H2,-2.0510022807598824
BLCAP,-1.6789477364007868
NPR3,4.128251071650607
DOK7,-3.960957728189668
MAP1A,2.4718208641884396
KLF8,-4.307452189917428
KLK7,-5.532360391899237
KCTD1,-2.1906650181267673
CBS,2.327496178014025
VIM,2.1432517619172744
GPR137C,2.517183839981555
SPRR1A,-7.664232167040778
SPINT1,-1.7962894913545233
LIFR,2.614968242537398
LRAT,-4.1933080368654
DOCK11,2.6238093588972444
BICDL2,-3.9110349611495576
DUOXA1,-3.0009479680147972
KRT81,-3.3322746743585956
SNCG,-1.8815894279174794
PSD4,-1.8843000236418228
PCSK6,-3.277176229456901
FAM110C,-7.243633752714193
GMPR,2.6386519839834333
GPRASP1,2.5438737289539888
ALDH1A3,-2.996491029171582
DEF6,-1.7679071775377737
ARHGAP22,1.7892437660831835
FAM155A,5.2258569561053
ENPP1,2.675516954416573
MYO5C,-1.8728479880581903
UNC13D,-2.4952625194723588
"NAT8L",2.7857233944215056
JAM3,2.4238855487375863
LPAR3,-3.116140905555429
WIPF3,-3.0972295821452884
CAMK4,2.2431312337324596
C16orf74,-2.517292320917691
DCLK2,3.6683623696411156
P2RY2,-3.1708842335486747
TMEM47,2.4407962747182803
C1orf74,-2.2209918322229285
RHBDL3,3.7001470277879496
F2RL1,-2.2902126570571086
PTGFR,3.7513245382147686
CYP27B1,-2.6032188135012446
ATOH8,6.261384851351282
TNF,-2.597288833823783
SPRR2D,-6.4381783806479405
CDH18,3.811694212350672
ANXA6,2.572758387976017
SLC35F3,-4.859883693431547
PYGL,-1.5188060981793374
RIN2,-1.4585024315408919
LMX1B,-2.1453272609442657
CCN4,4.999994834240106
PCDHGB5,2.17025556707735
TGFA,-5.060659891769415
ARHGAP18,1.4135434340776665
A2ML1,-5.022410143727634
FGFR2,-4.476185867765908
G0S2,-3.4301407888082407
PDGFC,1.9771734423192446
PLXND1,3.067686264527202
PDZD4,2.7904061915330867
PCDHGA1,3.0246928344626767
MYLK,1.97689277995701
IL6ST,2.2082448066269578
PDGFRL,3.7901675406201
PLCL2,2.6451202377468515
PRR5,-2.5569279554573163
COL11A1,4.72180939096174
POU3F3,4.434101803707721
OVOL1,-5.945425356340152
PTGFRN,-1.7033760529628148
IQANK1,-2.7450490769785825
SERPINB5,-2.7432659958354253
BCAT1,1.6251534415135371
MROH6,-3.2340802020005
SERPINA1,-1.9916387820713577
DIP2C,2.3053095707181317
SYT11,3.302562067768829
WWC1,-1.821306948079209
RGS4,4.939230747452065
CLEC11A,2.612901082792673
RNF125,-2.3873501778502746
GALNT18,-2.3307363530310883
STXBP5,1.5904500691793146
LRRC61,-2.1743604301427415
MRGPRF,2.8364266437991383
DUSP7,-2.3785673757725427
DUOX1,-1.8202628471576243
FBXO2,-3.778321213307279
RGL1,2.1217000824116767
ALCAM,1.700200526191907
PTPN6,-1.9115406280900924
ACP5,-2.3475314781174395
UPP1,-1.8691488395745237
SERINC2,-2.8384123722095125
DACT1,3.6107490130539044
EREG,-3.6799747982760396
ANXA8L1,-4.196404246441875
PARD6G,-2.675356871043594
USP43,-1.9332682119243816
CTSV,-2.57053420030408
FGFR3,-3.451694747459968
PRSS22,-3.6667059255289978
SLC20A2,-1.4646838786648564
ALDH3B1,1.6895675143379396
CLCA2,-3.7569622956543935
HOOK1,-5.0538497895852155
BTBD11,-2.2786886271988136
PRKCZ,-2.0167118630094105
GIPC3,3.147181471632609
HOMER2,-1.9431265811684397
ENTPD3,-3.3776980189091494
KAZN,-1.8880308060203377
SCN1B,3.3226262065749697
GPR162,3.724720209432168
SHROOM3,-2.372830762296371
RASA3,1.9789233460689022
STAP2,-1.5835919273414962
POSTN,7.099586114079897
PALM3,3.9902798099126198
VASH2,2.7605623646470145
LIMK2,-1.7589976662839355
SOX7,-2.754286754864034
TCF7L1,-3.765599920954953
PCDHGB1,2.510368709864443
TNFRSF25,-1.9017151150339024
MED12L,2.331951557491142
RNF19B,-1.82130199201344
LYPD1,4.0670195893409185
EPPK1,-2.6052335981801087
IL1R1,2.2012854989007797
RASSF10,-4.391266675057172
PTPRJ,1.7812496868354413
MBNL3,-2.2881465335354716
SEMA6B,3.3438200502193403
DPP4,2.5336437964904017
PFKFB2,-1.8835404918844065
SEMA3A,-2.8563749658171393
SMAD6,3.7222489373079024
RAB17,-2.4018363907032976
BNC1,-2.0248789961263576
ARHGAP8,-5.592385521012067
LMO7,1.6505378840514235
VLDLR,2.0853727438285476
HS3ST3B1,1.762933264396365
DTX2,-2.208321318625112
KLK8,-7.161902296217231
ZEB1,2.969109371601699
LIPG,-3.9412383340288404
GJA5,-7.312069333892871
COL8A1,2.4423217999963027
NKX1-2,-4.584277193693958
EPSTI1,1.7608341659051279
GSTP1,-1.6158183555886378
ABCA2,1.8214402834823094
TMEFF2,4.700279587813013
RNF144B,-2.8633004808131908
S100A3,-2.1955969804087423
PTK6,-3.107584004508647
CAMK1D,3.074757048927654
CPNE7,3.0535274201746927
AC015802.6,-3.4758917499173005
MGP,5.232913878443721
CTXN1,1.8728648474599314
CCDC120,-2.0997677856349375
KCNJ8,3.4398913412662635
HLA-DQB1,-5.784940730474824
CHN1,2.3388782221253472
MME,2.407932277355968
TLR4,2.352311941460889
RAB3D,-1.6046882138911236
NEBL,2.9073435221719843
NGEF,2.714277037150801
IL36G,-6.651941693837877
SERINC5,-1.6376148770884495
UPK2,-2.9688801184553926
SEMA5A,2.1300116218666245
BDNF,2.699152670201174
JAG1,-1.939724684131947
PLD5,-4.4083908639129925
GRIP1,-3.549145689002969
FOXE1,-3.020731878331019
GFOD1,-2.4241425179257523
PKP3,-3.14945826110065
DLC1,2.4494983072753063
ITGBL1,2.457269085610431
KREMEN1,-1.4798393442001256
STAC2,4.639074517338617
FKBP7,2.6260023808002306
NLRP3,-1.890059852246369
PLEK2,-2.6040229657906946
CAPN1,-1.5586673523962968
ADAM11,2.0864531913762914
CMTM8,2.280891111272645
DSEL,1.8087170658341332
VDR,-2.3814581534851507
BNC2,3.9813144543207266
PCDH18,3.1731725287313246
CREG1,-1.5737567750391748
ARRDC1,-1.7225569773441236
CYBRD1,1.7267183833777588
CDKN2C,2.1673111031863144
ARHGEF6,2.5853001126072996
CRABP2,-1.8861750955475836
RAPGEF5,-4.100115324336256
EML1,1.7435308380221952
MMP16,2.401896681140535
LAMB2,1.5914812103760843
VAV3,-3.1937370705880386
SLC4A8,2.9908061742071057
NRP1,2.0753924178739327
TAGLN3,-2.057329738840784
PLOD2,2.8995048419381217
KANK2,1.7195172888816217
KLC3,-3.023041100720409
DNAJC22,2.674506880190532
DDR2,2.9072003974412954
GPR87,-3.1166210078551426
BGN,4.160873763405448
RAB38,-2.5683452525138133
ERBB3,-2.1221284283234896
LRRTM3,5.939490782437215
SERPINB7,-2.4795643280371884
CD99L2,1.4193397391558464
C1orf210,-6.230481596333672
LOXL1,1.5076613678515038
CNR1,8.097237764715343
KCNK6,-1.788317213270751
CERS3,-5.2562544432546705
NEXN,2.1752585232272623
DGKI,4.151825354300999
ENPP5,-3.245276763512313
TSPAN13,-2.47503200159548
RUNDC3A,-3.108195264306348
PNLIPRP3,-6.491408201686817
ADAP1,-3.3215929465818523
ADD2,-3.257201434221938
FOXA1,-3.5683055832856816
JAG2,-3.0199829852118394
SRRM3,2.708873622399863
ZNF69,2.449566258467478
RCSD1,-3.0977358363990533
RNF182,2.480085898189638
PRXL2A,-3.156274330149472
CHSY3,2.827905111058201
TUBA4A,-2.596211196453017
FSTL1,1.9828035278729892
CEACAM1,-2.086776621840643
SLC29A4,2.9413395125275423
PSTPIP2,-1.9880356230829253
RAP2B,-1.2712276429358025
CCDC188,2.2938299283215082
SLIT3,2.7439607883564157
GAL3ST3,3.166101828475825
GALNT3,-1.717341081850052
STX1B,2.684223282664775
ACSL1,1.5567449975705192
MYCL,-2.272332956938043
NRARP,-2.0604980343723636
TMCC3,-1.8664000826653637
REEP2,1.9461592625720046
COL6A2,3.358991996615306
CXCL2,-1.678779760983125
GBP6,-4.847248330023608
BEND6,2.172444871134147
CHMP4C,-2.5934401000900436
ATP2B1,2.0083462535808505
RBM47,-3.033205440179912
VSNL1,-5.3763852536908425
LCE3D,-4.052266529991634
FRMD6,1.4806842659451374
ARFGEF3,-2.201312187645022
PRCD,-2.528750513807055
GGT6,-5.59855111065522
ROM1,1.7396414062579109
CXCL14,-5.203462604976261
GRB10,2.516241263073011
NDFIP2,-1.3622984814263288
GPR176,1.6145682155117393
PRRG2,-3.8658518687277916
CISH,-2.1539724101086803
ITGA11,3.2531327671148604
PLEKHN1,-1.9725859706162923
ZNF439,3.1772394861903486
F2RL2,3.3352187081300984
EPS8L1,-4.071161405912466
PCSK9,-2.3124914796065053
ZFP57,-6.4480579753152405
LHX6,-3.35110987415958
