gene_name,logFC
KIF21A,-0.9117621185688147
NFKB1,-0.8400469524711509
C1S,1.401181332209318
C15orf61,-1.2304570644541184
XK,-3.481481545517048
LRRC75A,1.2120291771089475
AIG1,-0.9192881334347363
TMEM45A,1.346026170550068
NHSL1,-1.5047814221525733
PRCP,1.0575325231109538
BAALC,1.8308204950175189
GALNT10,0.9864817160537225
LSM4,-0.7275245953943473
UQCC3,-0.9095782548267239
IL20,-4.826504303079558
EXOSC4,-1.0871594087032872
KDELR3,1.7102904977884177
ZNF558,-2.8783960939658533
NEK10,1.5583151215446798
SRXN1,-1.2891228407601902
B3GALT1,2.999103325792103
HOXC10,1.6299988242833123
RTN3,0.9734414743671781
ARMC8,0.896233700270383
ARSB,0.9114187634436273
JARID2,-0.9754729014007094
JHY,-1.2507756099887413
REM1,-4.980450396546302
TBCEL,1.1691621343837029
POGLUT2,1.0894292054104444
RREB1,-1.1565118677281094
MLLT3,1.0835900448908538
HSPB1,-1.5439712594738106
ABO,-4.369991085927668
IL15,1.2755842018438956
CFAP91,3.33113824630427
LTBP3,1.3615379399938878
SEC23B,-0.7272410288347775
IFT27,1.0249663035964796
DMAC2,-0.9715935066843983
ECE1,0.9191015535417929
COASY,-0.8228044940795857
HSPA1A,-1.8346011997490561
AC007325.2,-2.4665835120160335
TAF7L,2.226766605615168
SSC5D,2.3266758323660826
CDK6,-1.1554250928877947
C6orf141,-3.014120753616716
KIF5A,1.3196968837556171
AKAP1,-1.1324675420462864
TGOLN2,0.8423390306429797
TLCD5,1.1121124913540796
ALDH1L1,2.177529525008164
ZBTB7B,-0.777823631267271
CASP1,-1.1704337139085694
PYCR1,0.8345715334917274
ELAVL2,-1.63676986886247
TMEM67,1.1615456974583331
NOX4,2.926073374198952
MAB21L1,-2.0949768899619987
SLC38A3,2.1379396102881802
HRAS,-0.9905704901707112
CCDC8,-1.179933216615481
KIF15,1.011187877212425
RPL21,-0.9245422547491148
PORCN,-1.2155206773472016
SPAG8,1.3443211764565757
JDP2,1.644373271452105
PWWP2B,-0.9947637083846615
LAMTOR1,-1.0279602053055725
TMTC2,-1.2273702638467854
ISL2,1.5441656812440199
ADM2,1.5164547967356958
PRR33,3.122905569538282
UBTD2,0.8256153469080675
MKRN2OS,-2.138610263784699
ZNF91,1.2879713348502615
PRKD2,-0.9530592085867299
CYP2J2,-2.099817686507189
OR2A7,-1.8220506429582632
FZD3,-0.9767524437705206
ZNF233,1.7452769428574746
VPS25,-0.7033935048174972
BACE2,-0.7360232182973665
HIF1A,1.2646114665313477
TCTEX1D4,-1.3215564681858265
MERTK,1.8298137712568574
SORT1,0.991094018631708
TNFRSF10D,0.9982493765717606
TRIM35,-0.8851223572388258
ZHX2,-1.183679635413785
MPDZ,0.7702582024860815
FLACC1,1.894345134383127
ZCCHC24,1.3062138039552782
CNTNAP3B,1.5569541579704147
YDJC,-0.7749801513577189
HECTD2,1.6980781920004082
ERF,-1.1624721956045203
CARD8,0.8048336965020351
DARS2,-0.7542186142992
EPHA3,2.8352854620255266
FLNB,-1.1573696832146705
GUK1,-0.7337897684283762
CTU1,-1.1388404025769745
EID1,0.7594556685921893
OCLN,-1.413597794749615
RANBP2,1.0501508891660398
SHF,1.3010649883406413
CD164,0.7750424229062288
IFI35,1.034996122628518
SH3PXD2A,-1.1047328555211866
CCDC74A,1.0101707776280011
PROB1,1.4463970264884818
SEC23A,0.8677472838451687
AMOTL1,-0.9595063983503516
POLN,2.15214370226016
SLC39A7,1.0117657541778877
LRRC8D,-0.7846060576754548
RABEPK,-0.9611007767777993
OTUB1,-1.056810576803269
LDB1,-0.8073776512580839
PHF13,0.9337708106257994
INAFM2,-0.7419573678593395
DUSP15,2.291071572317813
BLOC1S3,-1.1047016824301765
MPV17L2,-1.1493794854072077
PHYHD1,-2.2593574870656457
ELOVL7,-2.8324807833514623
MRPL4,-1.4638273956989265
MPP4,1.8076312207911571
ADPRHL1,1.4473528209277426
MAML2,1.0215764370480935
ZFP64,-1.0126575790145156
VAV2,-0.7927314608779557
RPS28,-2.421194946816506
PPP1R3D,-1.0265197199127551
FOXF1,2.2437336759044078
PTP4A1,-3.321821317006805
ACP7,-1.5018632242029604
DDX54,-0.9012460988963513
ACE,1.780166473853765
ACTR5,-0.7910986255813064
PCSK1N,1.248054088960544
DOCK8,-1.7326863387330755
PDCD2L,-1.1540492126818207
MRPS15,-1.0591659322658264
ZNF519,1.0644087035551482
FAM214B,-0.9671916168156887
TECPR1,1.1216018933381455
SAMD11,1.8583426407076944
PLCD3,-0.8592528416146252
ANKRD36C,1.2700554483984845
MIOS,1.1412644133643877
GLIPR2,1.3280068039544475
IGFBP7,1.0931341398462722
P2RX5,-1.115725001192382
RPL27A,-0.9746311722848089
RPL13A,-1.2109499546229674
GFPT2,2.467280897608458
STARD9,1.0014680132813523
ELOVL1,-0.9003611743990821
RND2,1.1675148067925671
CDYL,-0.8060799232715545
SMARCD3,1.0338537018972693
HS3ST3A1,1.0212916271460957
CEBPD,-0.8330428909114123
VPS72,-1.067100220506691
DSE,-0.793196283025977
MFGE8,0.8464253527685259
DPYD,1.3866470709083045
CARMIL1,-0.860258684184812
GAP43,2.6044935515138743
PLOD1,0.7762096580284902
INPP5D,-3.1851374187423556
ZNF43,1.050533194305318
SYNJ2,0.9558190736536682
REV3L,1.3085333368900434
EFL1,-0.6893931259184852
POLQ,0.925533139655679
HSD17B2,-4.1287830687947995
SRC,-0.8931942280835081
UAP1L1,1.0858365532999823
VSTM5,-1.827529963304656
AFAP1,1.0898996208709673
BMP8B,1.238601049916907
SLC22A15,-1.5343690691397347
ZNF442,2.2125473417257617
ZDBF2,1.1756841963930924
RIMS3,-1.6773412437506954
SEMA4G,1.2211361904819151
PCGF1,-1.0120811009668373
CCNQ,-0.8388173644681639
PAQR8,1.7883214630080975
ZNF516,-0.8068144826095742
CLSTN3,0.8196249041670416
ZNF566,1.0689040997630352
EFCAB2,1.1087564649923953
RASL11B,-2.872656969667242
LRRC37A3,1.1001095602074502
CNTLN,1.2712237586660817
CYP27A1,1.137901650288499
RPP25L,-0.7790796488053137
PRKAR2B,3.203621819278983
SECISBP2L,0.8067259651292893
MT-ND2,-2.1338399974641904
RAVER2,-0.8483063682937213
FUT11,0.8113026779581862
RGS20,-0.9184860681952315
TIA1,1.0233436850466144
OTX1,-1.8063846988251497
ABI2,0.9070796817479887
PLA2G4A,-1.9652361210073
PLPPR2,0.7081967341939607
SLC31A2,-1.5325664435987136
PLA2G15,0.8171424073077403
S100B,2.7787820943877124
TOX,2.495628503973672
PCDHB15,2.052389158037778
FOXQ1,-3.8828865476773093
RARB,1.760432877105232
BBS9,1.387304818477046
FNDC3A,0.7534951412326362
TMTC1,0.8963917761607213
HOXC11,1.0401641592671464
CCNA1,-1.1957968875029765
COX5A,-0.7984935631534703
MAP2K6,1.541853101517442
ACY1,-1.7948574271597237
ACKR3,2.327148691698866
YPEL1,2.7062549665426783
DCUN1D4,0.9278254217598275
CAPN3,-1.9804541679109449
HIVEP2,-1.0317143301828393
KCNT2,3.0883615430894245
ABCC4,0.8551751517737702
RALY,-0.792858104799944
TNFAIP8L1,0.8942924131798714
TNFRSF1B,2.942097110067486
SLIT2,1.7505967071711
EPHB2,1.3078850355780058
DCAF6,0.7090300191658733
NRG1,-1.2735103499650822
SEMA4B,-0.8379071602372575
GULP1,1.3371006974327844
MRPL45,-0.8199230985998152
MN1,-2.151129548042522
CNTFR,2.3902756678631394
SLITRK3,4.12234561620778
ZNF491,2.2039936879949176
RAB9B,1.4994731391019125
ACVR1,0.7538510944194611
ZNF382,1.0896722300694157
SPR,-0.7615805384483004
MGST3,-0.7935759607692154
TNPO1,0.7728148948808894
TLR3,1.4192424590114114
ARL4C,-1.0778094757727068
RGS19,-0.8914303311888455
SEC14L1,0.7003098621020053
SLC9A3R1,-1.099927869408178
NXPH4,1.6053462469464723
IMMP2L,-1.4949786796780629
STX3,-0.725462657164171
ACBD4,1.0321738656030794
GLT8D2,0.9167466503049048
GALNT5,-0.9734969961275339
STK35,-0.9408148951685179
WFDC5,-3.7920437518770944
APEX2,-0.7588992378962927
TANK,0.7936884013295094
ARL6IP6,0.9678995273050754
GBE1,1.2871061521297709
VEPH1,2.1167117960310198
POM121C,-0.9978836371499095
TAF5L,-0.8354970157560537
DNAH1,1.0188342034715272
RAB15,1.3446126585673568
FNDC11,-2.006429246845272
PTGDS,2.936034334966183
IQCG,0.9078320337420646
DNAJC18,0.8954923052741681
RASSF9,-2.138557107527114
CRAT,1.0172084237548453
UTP25,-0.9845271819006309
AAMDC,1.400576350959333
MBOAT1,-1.0976751884491565
UGGT2,1.3843627785195987
SYNE4,-1.903714770739702
ACER2,-1.401631900580862
DSG2,-0.8108297316846175
GLB1L,0.9778358946904575
CBFA2T2,-0.7627860502070438
TBC1D1,0.7070330805904377
TSC22D3,0.9315101342990584
PAK1,-0.8558699933117878
NOB1,-0.8735273377131311
TRIM16,-0.819469668328457
CCDC106,0.9258912945723321
OLFML2A,1.4494286270263494
TLCD2,0.8023376492314197
CERCAM,0.7524954608626147
MEAK7,-0.9749812368577362
RPS21,-2.2277513356732896
GNG7,2.436542520062486
CCN1,1.1605718246450805
STOML2,-0.8894893622657475
NSDHL,-0.8416789955939055
GNAZ,2.0803895539726285
SLAMF7,-2.246869742796314
LTB4R2,-1.1873166244290418
MYPN,2.1672728155618386
TLCD1,-1.0165794283860556
CYP46A1,2.9349139607181924
IL27RA,0.763308913373997
RASA4,1.8054434643016335
ABT1,-0.7264555472337617
BTBD7,-0.7971240990952203
PROCR,-1.0536679798687105
BMP6,-2.2870768706489573
RGL3,-3.222820653497101
COX10,-0.8518555130939203
GPX2,-2.0959513109723087
MCAM,0.8160250979455634
COLGALT2,1.6794918181465377
WASL,-0.7124676607371789
NMU,-1.4452271876914105
DCTPP1,-1.0122262658463936
GJC1,0.6785707163715492
SGO2,1.7321656553411031
CCDC153,1.2645299929525902
H6PD,0.942656450503017
KIAA1671,-1.1627008843632907
ZNF492,2.1130206246408343
PTPRQ,3.512453465187902
KCP,-1.238324357980677
SEMA3D,1.6313128664582275
P2RY1,-1.5618527216258333
SLC35F2,-0.6644407295823264
CST3,-0.7095827695751086
DLK2,-1.3928188519955302
KIF11,1.2470078868262175
CDK7,-0.8465792578222663
RNF152,-0.9223548841324543
SLC25A29,0.8235303261168904
ANKS1A,-0.7792142482836671
CRYAB,-1.060714693908191
RPL38,-1.4839293703515086
ZNF354C,1.6431476401046328
ZNF879,1.6401694711380894
LNX2,-0.8348179252226822
PALLD,-0.7924296000309489
SUSD6,-0.9187486372563807
MPV17L,-2.720050459467585
ZNF675,1.2801425289769104
UBALD2,-1.3212152934277974
BOLA1,-0.9635284524081442
SLC1A4,1.225968332239453
PLIN4,-1.7725680360271354
TLE1,-0.7503702205658812
AP002990.1,1.1974970347532283
NLRC4,1.5571127942671323
TOP2A,1.1595051063585116
KLF7,-1.0821187910304826
SAMHD1,0.8217813790504588
VANGL2,-1.0563256697576187
CDK18,-1.36018316829251
TPD52L2,-0.74493717101945
TMEM255A,1.5256856006478259
DAB2,1.1601355726038871
SLC6A6,0.8925605256666065
ZNRD2,-0.997746082227759
PPFIA4,1.3598932042964536
ZNF358,0.7532223066909524
PHLPP2,0.7822391792027196
FAM181B,-3.397781940451595
TUBA1C,-1.7239315258996233
ZNF638,1.2314213684465158
RBCK1,-0.8359608394583827
UTP4,-0.8614517790214352
ARHGEF17,0.7711155106383618
CLK4,1.046823400024702
C1GALT1C1,1.888755502896152
RSL1D1,-1.014631139376575
ZRANB2,0.6587062829022425
CDK19,1.029670055718044
PDE2A,-1.4531136729426246
ARRDC3,1.065298479304516
OLR1,-3.4642353243163506
RPP38,-1.1806141330993791
FAM107B,-1.632312981139527
BOD1L1,0.7718450869868607
MAST1,1.4134537609772029
TMOD3,-0.6623068431449467
FZD8,-1.7223606061826047
FAT4,1.2627668475380036
KLHDC9,-1.6149920099039137
IER2,-0.7719235223945338
CD101,-1.4776617394442144
REL,-1.1618992519328748
ZNF112,1.5166122511693112
ZNF12,1.0443868615240866
ADAMTS16,2.387363031621412
ANK1,1.6494402602386327
FAM13A,0.8275113863304243
PPP1R35,-0.9752132415982733
FRRS1L,1.7472714192068404
PEMT,-0.8557990324747397
PCOLCE2,1.0047877239068914
FXYD5,-1.6488151349181799
GALNT7,0.9550622096411141
SMURF1,-0.800743239516049
COLQ,1.2555491637316416
NPC2,-0.7615130423433369
ZNF341,-1.017033726155685
LPIN2,0.7040086897278259
SCAMP5,1.0948424613193972
EIF5B,0.7457515751845231
ELF4,-1.098127536833491
RPLP1,-1.2497944705568802
BATF3,2.1467135236410733
COL4A4,1.3357255403713333
NIM1K,1.6745120076780906
SRI,-0.793155148850682
FOXP1,0.8222431765725259
TP73,1.2251875808510695
TAF7,0.7407021435448443
PTBP2,1.013984605996578
XRN1,0.9701510012285232
RAPGEF3,-1.7018071240887438
PDRG1,-0.8040712009609443
CX3CL1,-1.8956945454228415
KLK6,-2.7779881964080495
BRME1,1.3202468582729034
SCNN1A,-1.7067677478087688
SRF,-1.0653543153185054
NOP16,-0.9164206871050621
ZNF781,2.9595148638587037
ATP8A2,-1.5076114324498924
FAM111B,1.5703209729008925
SIX1,0.8925149271521898
SNRPB,-1.1995411919840677
CXCL16,-0.8302284900182413
PMFBP1,1.3154588400058058
CDA,-1.9198429139611037
TEC,1.1804905176363396
L1CAM,-1.2218779277953893
AP1S1,-0.6390147239900785
POLR3GL,1.0443109884079607
CELSR3,0.917001396669517
RARRES2,3.417118087151889
GNAL,-1.2430287774074091
PARP9,1.1480220304274167
CIR1,0.7081876946678064
EPM2AIP1,1.0730026393363137
CRYBG1,-0.9922963297743547
AMIGO1,1.0241319673740408
APEH,-0.641013605921399
DDO,1.8489250841552762
FAP,1.4489981126961131
RETSAT,-0.7074830130581049
RCL1,-0.6624593529030091
FKBP1A,-0.8950994450130372
MLX,-0.7148122969773378
MYEF2,1.2250240261050338
CASP8AP2,1.1997722966332154
MT-ATP6,-1.4145041717807751
CHST11,-1.2601611459907205
SIX2,2.213022788453019
EDN2,-2.3806832855376925
P4HA2,0.8765903732646773
AGMAT,-0.9235250438895608
IFT80,1.7039839290762973
LZTFL1,1.036840189726854
RPL27,-1.67642371666565
TES,-0.8950440839230261
ROMO1,-2.020493169812794
C1orf21,-0.9250638059252015
ADAMTS3,1.386623864520295
PPL,-1.3804603064518628
ARID4A,0.8240554547675227
FAM83D,-0.686010903861724
ZSCAN16,1.0771284180956688
EIF5A,-1.1688677248570039
SERPINE1,1.8331754424667168
AC011043.1,0.9458030652686827
ZDHHC23,-1.5810503244189207
SURF2,-1.003032383894034
MPP2,1.0439469547767075
AGMO,3.4029340556634766
CKAP4,0.9271520144490115
GAB1,-1.0320442783108574
CD14,1.9873987483649547
TERT,1.2455318127160877
RWDD2A,1.3805359252901515
S1PR1,-1.7036391651455187
CALB2,-2.2713634105412783
NDRG4,0.8464326290046369
APPBP2,1.2343849567806067
MT-ND4L,-2.1646535223096883
GGACT,-1.2962872859105512
TRIM8,-0.8020404597659228
TSPO,-0.6550467937581254
C1orf35,-0.767797754683356
CASP10,-1.2648333595425987
HSD17B8,-1.0628236429470295
RAP1GAP,-1.2879676960503592
RHBDL1,-1.9197267459677856
MT-ND6,-2.0379694571384217
POLR1G,-1.3893625979506738
LYPLA2,-0.8059552963821696
MEGF6,2.0518213173926574
FAM13B,0.8556431503849494
MINPP1,1.1977299198682454
SPTBN4,1.3275541612626425
CLTRN,-2.098971642895899
SELENOO,-0.8126308670058905
MT-ATP8,-1.2182947953853325
SGCG,2.7817112310199796
MED14,-0.9344944607877725
B4GALNT1,1.0971649614956895
GBP2,1.2097063932371144
FBRSL1,-0.9225913617936621
GPX7,1.124585911040404
TYMS,0.8438694333538268
OSTM1,1.1981182148565694
CACFD1,1.2601046358042243
ETV6,-0.8709130015892408
ADAMTSL4,-1.030558098783359
LAMA4,1.6714247602997394
PMP22,1.200531309733426
TSACC,-1.820192122000165
SORBS1,-1.1558404615490538
EMP3,0.9551208449577602
CPPED1,0.9040271071874477
GRAMD1A,-0.7077247486745989
TACC1,0.7431030302120384
SP3,0.9243262010091756
DUSP11,-1.0781789840013605
MPHOSPH9,0.885402193529688
"NAA80",-1.2270246112607515
EVI2A,3.045748447707114
SYT14,-1.0211991192516878
CYSRT1,-1.7779778047203703
ATM,1.1995495740871676
RHOBTB2,-1.1386412938533608
PCDHGA12,1.9128545426978858
SLC38A6,1.0050568127364814
MT1M,1.6058136257348785
BDH1,-0.7326250628778148
RHOF,-1.924490142408811
FAM81A,-1.172242894983281
GRIK2,2.41206743722202
HSBP1L1,-0.8227080015584936
VSTM2L,-1.3669611494436995
HELLS,0.8200738767981197
HIP1R,-0.8175864274401058
TNIP1,-0.966624321293822
RUSC1,-0.8013765051453393
VPS37C,-0.7735308315217173
TRAK2,1.048466537277802
CEP295,1.0849719271121392
SPOCD1,1.1370870827938477
ADAMTSL3,1.9253650362008734
ADAM23,1.204007438935467
AC093512.2,1.207731646463934
DGKB,2.5632249005925867
ADAT2,-0.9249112534887848
FAM169A,-0.923869596633022
SEMA6C,1.0897731001524675
CRYGS,1.496600783823248
WNT7B,-2.2923437598060037
OSGIN1,-1.4277113902104888
C4orf47,1.9988092832636841
HHIPL1,1.032601584602552
DUS4L,-1.0824976769076575
LMAN2L,0.8056281735518888
VGLL4,-0.7661320584413887
ADAM10,0.8745942451980608
VWA5A,-1.0500026859178426
B3GNT4,-1.2558135021187329
RPS2,-1.2755614014380745
SAMD4B,-1.1710689526397073
CREB3L1,3.055225886798471
MOB3A,-0.9607127319278549
KCNAB1,1.5405016046189648
ECT2,0.8878476092175941
ZNF625,2.06813791746072
IFIT3,1.6625958334353228
SDHA,-0.8858330655956727
PRICKLE1,-1.9644719988261705
ADAMTS10,3.059037751478818
B3GAT3,0.6582248929174126
MT-ND3,-1.870241661925417
RPL26,-1.9520852501011914
PGRMC2,0.6795564312173981
RCOR2,0.9777273500721506
TPBG,-0.6513124901006029
KRBA2,1.1354943677578775
AQP5,3.0794536738969147
MEOX2,3.9989420648601355
SHCBP1,0.7796777983822355
PDLIM5,-0.8093570291755179
ARMH4,1.441551290221827
SERPINB3,-3.7263118840119445
PFKFB4,0.8363660157950613
HCFC1R1,0.7599759763165109
GIPC1,-0.7311403888200351
MCF2,-2.708426160087589
TXN,-0.8324593885277849
SCARB1,-0.758808202477228
IKBIP,1.0104326755055635
ODC1,-0.7042279394421482
PABPC1,-1.008130749415118
C9orf43,-1.2164972744205054
PSME3,-0.8161036280457756
F2R,1.0084641073865974
GALM,1.2690228629694635
H2AW,-1.0865832928853931
PARS2,-1.0910795891175142
ZSCAN30,0.9083738432199759
LMTK3,0.8985665892381696
IMPDH1,-0.7266824955214081
C4orf3,0.9768952936741551
GXYLT1,1.1989502447238276
R3HDM4,-0.6677550924462626
SIRPA,-0.9638141917690787
CHD9,0.6960560864173614
DMAC1,-0.857495914715391
TIMP3,-1.1600417606782514
C2CD4C,2.5416732779367104
B4GALT3,-0.6773703427174836
MTHFD2L,-0.779616542500821
C6orf132,-1.1729791526781475
ZNF608,1.2809596760212358
PDCD5,-0.6599054004153991
IL11RA,0.9511124127750499
FAM228B,1.0180734655499792
SYT1,0.9477303793764377
CIB1,-0.7446006468738329
GIPR,1.7367425020906955
MAOA,-1.2368899271754208
MEIOC,1.39887420182673
MMP19,1.3388093362022908
C6orf136,-0.8257315338858933
DDAH2,1.1161265215834895
INSYN1,2.020001973628023
SCNN1D,1.1383910320445079
ZFP14,1.3889354925788318
DENND2A,1.631009661996133
ITPRIP,0.8446028692147955
POLB,-0.9287069607980704
CCDC18,1.460704943859363
ACTR3B,-0.8148056962631285
TNFSF13,-1.2611485055787508
MYL6B,0.8800162377205765
ANK3,-1.3034436292519538
STYXL1,-0.6961780314991033
LPCAT4,-0.9982915449884252
DPP3,-0.719037075250182
ICOSLG,-1.080077910121041
HDDC2,-0.8443184757492708
RAPGEF6,1.0126008161567825
LIPE,-1.0419273936401285
MRPL58,-0.8281051522933782
MAP2,1.1943819878752309
LYRM4,-0.7678941644546136
NPHP1,0.9780680093670875
GNB3,1.3745904557445763
TGFB2,1.5147981938322919
CALHM2,0.8099535425967841
DMXL1,1.061373966830873
PTGIS,2.5291824391118283
MFN2,-0.74391494252388
TNFSF11,2.218148125284623
TMCC1,-0.7480339514945695
SPAAR,2.4075935961432764
CCDC150,0.9412766092668932
TSC22D1,-0.6543367303731074
HSP90AB1,-0.7567180688396132
ACOT7,-1.1438405119219182
IL23A,-1.4878018219888738
PKIA,1.3499001518792246
JUNB,-1.1901334175678315
KDM7A,-1.33784917477574
RPS6KA4,-0.9939363239884283
POLR1D,-0.6174292809148126
MGARP,1.2820473829256929
RAB23,1.4715549196612014
MT-ND4,-1.939897804682836
TMEM255B,1.6793688332645613
GZMB,-2.8181166036593486
PRIMA1,-2.6546246549504757
GLE1,-0.6181180346653847
BCAP31,-0.6248641252322803
MATN2,1.721823487922266
MAPKAPK3,-0.9740915274093611
GOT2,-0.6889642528767675
NNT,0.810951917568291
KBTBD7,-0.9342578804052624
RPUSD3,-1.0023404994113394
SERINC1,0.8885854868790649
FAM160B1,0.9312056440125693
ZNF598,-0.8929223916402523
GRHL1,-1.045637963376971
AC009779.3,1.654057813095951
COX17,-0.8003630440302857
MKNK1,-0.7876584916991713
PRKX,-0.9521313242460328
HPD,1.5309226879404316
GALNT6,-0.9605713986203005
CCL2,2.618298863598566
RPS29,-2.198852933309313
VWDE,2.286849160359906
CPNE5,1.9443940324104005
APC,0.6974191687754961
ERG28,-0.8930717818998555
RPS5,-0.7587747236702992
FAU,-1.2118787158004238
PRKAG1,-0.681267056280711
CD34,1.697876802652986
ABCA6,1.8652028821290743
CETP,2.377735968197287
AGPAT3,0.7657102313178452
PDP1,-0.7743714144788926
RBM22,-0.7076569038777931
RPE,0.759121451385576
HSPBP1,-0.7099979826236901
ZFPM1,-0.80158375154961
LFNG,1.0668449538924498
PAQR5,1.2195171855979987
CEP170B,-0.8044201695183609
FAXC,-1.1154521266778479
FYTTD1,0.6359781461352101
MED10,-0.6954416641177241
ESAM,1.7568611195451012
TRMO,-1.0669413502338518
BMPR1A,0.8626565558787268
ATP5MF,-1.615460796834384
GLI2,2.4271657856695152
PPP1R14B,-0.8236990755954123
B4GALT5,-0.6994567399890498
PAPPA2,1.5002786281796354
APTX,-0.6866923084314344
IL13RA2,-3.7721212848965626
CCNE1,-0.8637735530968774
C12orf73,-0.8010633580076373
CEP97,0.7134646931476434
STAMBP,-0.8242315628952049
CD200,-1.1315769652817305
RLN2,-2.910124703011682
SPRY4,-1.2130308946196906
BBX,0.5889615647918526
PPM1M,0.8447200017308033
EEF1AKMT1,-0.8315501691494072
CSGALNACT2,0.6848818063819365
DNAH2,-1.5445531332142712
CFAP46,1.4616635949157342
ZNF671,1.0145546222847335
HGSNAT,-0.8154733861737727
GSK3A,-1.2407467807707675
ATP6V1F,-1.2732963313717391
FAM155B,-3.38839985718352
TUFT1,-0.7561800102598086
CAVIN3,-1.2751875958424552
THY1,1.7349324984366064
TRIM52,0.8620424785488396
NFKB2,-0.7615280799767606
BTD,0.809110773976433
SKIL,1.052010641893504
NEDD8,-0.7844826597876391
SFXN5,0.7425217134992034
CENPE,1.8922512694962572
MT-CO1,-1.7414686321911688
NKX2-8,-3.6733569651074305
MAFB,-1.1612314233932362
SLC41A2,1.3896303442125864
TMEM38A,0.9484001720370178
RIN1,-1.3051922825153368
RPRD1B,-0.6420386358550015
ZGRF1,1.6403916845705209
PGAP2,-0.7827620639051892
ZNF154,0.9400914581429881
ZNF90,0.8510631928062976
RNF130,0.6901694690729356
DHRS9,2.0247185376000423
LDLRAP1,-0.7705701985755711
UBE2Q1,-0.7229909288276563
ZNF708,1.0225944517939898
RDH10,-0.8869669539769282
PCDHGA3,2.4083745900721603
CPZ,2.411667053117405
CAP1,-1.1424022719754459
TCTEX1D1,2.7763750722858864
CD248,2.1832332826660736
TXLNG,-0.6763029559038384
SEC62,0.7792532859169774
IPPK,-0.81043359093062906
HLA-C,0.7164356988139047
COX6B1,-0.7452638318809397
FAM168A,0.6924646985197077
PHTF2,0.7975396170578071
SAMD15,1.115408687943746
GYS1,-0.8463598117570892
MAFF,-0.7192674091713517
KLHL3,-0.8329882152665121
RPL41,-1.2329857043523267
STK17B,1.1154665077168961
HPS6,-0.6094042298366253
KPNA5,1.4715065467714097
ADGRG6,-0.9147297769394858
ECH1,-0.8854789635976159
DCTD,-0.5888236637732529
USP37,0.8514106790814933
PIM1,-0.7124179836373284
ITPR1,0.8231626058512709
PGAP1,0.9540044592855432
CCT3,-0.6935841663013633
DGKD,0.6521328757922558
SRM,-1.0483034331225425
LCE1C,-2.005708616529879
CCDC51,-0.7302801330807714
FZD1,1.265746813543711
MRPL2,-1.7292537460882256
IRAK2,-1.142407238614884
PCDHGA4,1.68547628900228
TTN,0.9433605147891257
HESX1,2.204418984121723
PREX1,1.9038954711622775
NUCB2,1.557928554356321
LIMD2,1.2224164383691363
SEC22B,1.0307103433079705
CNTN3,-1.6509174442133279
IRGQ,-0.7418485367482982
PIGK,1.4686918896194898
FBXO5,1.1948907517165654
EPDR1,0.9260734204349572
FAM114A2,0.7230950421738758
DYNLRB1,-1.5809518933708069
SLC4A3,-0.8281656232861971
ADAMTS6,0.704273150110732
NDUFAF2,-1.0418140396862512
TCEAL9,0.767616639456458
MYEOV,1.7707074562119949
ANKRD13B,-0.9770142665373724
CYP7B1,-3.0966288772033685
TTC25,1.0553521562093273
METTL27,-1.6330524192500955
ZBTB45,-0.8230294239966804
SIGLEC15,2.0531999130537595
EOMES,-2.810976769051831
FKBP4,-0.7121607192062596
CARD10,-1.2194557692256698
MEF2D,-0.9697474028244752
LCORL,1.2618784623817834
FAR2,0.8783528874238103
CHRDL1,2.7186148105968013
MAN1A2,0.7564570195558247
SMC4,1.4186029860526599
TIGD7,1.5277373771961797
ZNF555,1.1949731578821337
NOC4L,-1.0595420044039419
PHGDH,0.7971881002680494
NSFL1C,-0.857905089826095
CDCP1,-1.0733756243527492
DESI1,-0.9392292681717287
DDX27,-0.763652865304851
ATP6V1G1,-0.722413969701733
NDUFAF8,-0.6448346160882252
MNS1,1.704863517895019
KCNE3,1.5092496931791488
EIF3K,-0.601237555355258
RBP1,-1.9147997656458782
GSE1,0.6826193404669272
RPL8,-0.705171525352821
FAM117B,-0.9663926814729502
TLE6,1.5348501048335763
TTF2,-0.5767773391950128
BFSP1,-0.9783059433635252
FAM241A,-1.2193396709854978
CIAO2B,-0.7626522804748929
ZNF785,0.8162142753210907
PTPRG,0.7676838997265358
AHCYL2,-0.9970428253055477
ADAMTS12,0.7994785466444627
SLC44A1,1.003923197621981
POM121,-1.0174407808137007
TTYH2,1.3971768034526528
NRG4,-1.823198549851987
MAP10,-0.9838401693945106
CCDC144A,1.1474857310417788
ZNF354B,1.0121728797041931
ZNF181,1.44998552055638
PPM1H,1.3991753939526879
MT-ND5,-1.4835670409318666
HCAR2,-1.43164241238142
CCDC69,-1.1255474131024252
INSR,1.0850627012604044
ZNF710,-0.8128491608671358
ALDH3B2,-2.5730386593148116
SF3B4,-1.1435929387503496
TMED7,0.7117888274027621
PPBP,-3.5947574962736333
ASL,-0.6321261236333475
SHROOM2,0.8907989357009581
ZNF880,-1.152016986002456
PODXL,2.1002054945827444
UBE2L6,0.7244788420260858
KIF26A,-3.0880396744214624
SH3BGRL,0.7837178842116143
TMEM141,-0.85433067276192165
SLC35D2,-1.0368976442067526
NOX5,-2.592652235379038
BARD1,0.9226459549116246
MTRNR2L8,-1.3061819825598175
TUB,1.082555834404794
SPOP,0.6085779022690272
CHIC1,1.520406770544166
